metric,sample_count,mean,standard_deviation,pass_rate
citation_grounding,1,1.0,0.0,1.0
citation_precision,1,1.0,0.0,1.0
completion_success,1,1.0,0.0,1.0
exact_article_hit,1,1.0,0.0,1.0
judge_actionability,1,0.8,0.0,0.0
judge_clarity,1,1.0,0.0,1.0
judge_completeness,1,0.8,0.0,0.0
judge_evidence_consistency,1,1.0,0.0,1.0
judge_factual_fidelity,1,1.0,0.0,1.0
judge_helpfulness,1,0.8,0.0,0.0
judge_legal_issue_coverage,1,0.6,0.0,0.0
judge_risk_calibration,1,0.8,0.0,0.0
latest_fact_priority,1,1.0,0.0,1.0
loop_limit,1,1.0,0.0,1.0
no_match_safety,1,1.0,0.0,1.0
retrieval_mrr,1,1.0,0.0,1.0
retrieval_recall_at_k,1,1.0,0.0,1.0
retrieval_status_correctness,1,1.0,0.0,1.0
route_correctness,1,1.0,0.0,1.0
schema_validity,1,1.0,0.0,1.0
tenant_isolation,1,1.0,0.0,1.0
tool_trajectory,1,1.0,0.0,1.0
